id,date_publication,titre,entreprise,ville,type_contrat,secteur,niveau_requis,competences,salaire,teletravail,experience_requise_ans,mois,trimestre,categorie,est_stage
35,2024-02-02,Data Engineer,Swile,Lyon,CDI,E-commerce,Bac+8 (PhD),"LLM, Docker, Machine Learning, Tableau, Computer Vision",49545.0,Non,3,2024-02,2024Q1,Data Engineering,False
36,2023-12-22,Stagiaire Data Analyst,Doctolib,Paris,Alternance,RetailTech,Bac+4,"Deep Learning, TensorFlow, API REST, Tableau, dbt, Kubernetes, LLM",1398.0,Oui,3,2023-12,2023Q4,Data Analysis,False
37,2023-11-20,MLOps Engineer,Qonto,Paris,CDI,E-commerce,Bac+5,"Computer Vision, SQL, Git, GCP, TensorFlow, Kubernetes",59383.0,Non,0,2023-11,2023Q4,ML Engineering,False
38,2023-09-18,Stagiaire Data Science,ManoMano,Paris,CDI,MarTech,Bac+4,"TensorFlow, Kubernetes, Hugging Face, Git, PyTorch, Tableau, Docker",71331.0,Hybride,3,2023-09,2023Q3,Stage,False
39,2023-10-19,MLOps Engineer,BlaBlaCar,Paris,CDI,HealthTech,Bac+4,"GCP, RAG, Docker, NLP, Python, dbt",74426.0,Non,3,2023-10,2023Q4,ML Engineering,False
40,2023-12-20,AI Researcher,ManoMano,Bordeaux,Stage,LegalTech,Bac+5,"Hugging Face, NLP, Airflow",743.0,Hybride,0,2023-12,2023Q4,Recherche IA,True
41,2023-08-22,Stagiaire Data Science,Younited,Lyon,CDI,FinTech,Bac+5,"PyTorch, Computer Vision, Azure, Hugging Face, Tableau, TensorFlow",60341.0,Hybride,5,2023-08,2023Q3,Stage,False
42,2023-08-17,Data Analyst,Shift Technology,Toulouse,CDI,DeepTech,Bac+4,"Python, Scikit-learn, Kubernetes, Power BI",47831.0,Hybride,0,2023-08,2023Q3,Data Analysis,False
43,2024-01-11,NLP Engineer,Back Market,Paris,CDI,MarTech,Bac+3,"API REST, Hugging Face, NLP, SQL, TensorFlow, Computer Vision, Pandas",62103.0,Hybride,2,2024-01,2024Q1,Data Engineering,False
44,2023-08-19,MLOps Engineer,Doctolib,Paris,CDI,EdTech,Bac+4,"Kubernetes, PyTorch, Scikit-learn, LLM, API REST, AWS",60807.0,Hybride,2,2023-08,2023Q3,ML Engineering,False
45,2023-12-31,Data Engineer,Withings,Paris,Stage,EdTech,Bac+4,"Airflow, LLM, Docker, Spark",1162.0,Hybride,0,2023-12,2023Q4,Data Engineering,True
46,2023-12-24,Stagiaire ML,Hugging Face,Paris,CDI,E-commerce,Bac+5,"Kubernetes, NLP, dbt, LLM, Airflow, Docker",71988.0,Non,2,2023-12,2023Q4,Stage,False
47,2024-05-05,Business Intelligence Analyst,Doctolib,Lyon,CDI,SaaS,Bac+5,"Docker, SQL, GCP, Machine Learning",67689.0,Hybride,1,2024-05,2024Q2,Data Analysis,False
48,2023-11-13,Stagiaire ML,Shift Technology,Paris,CDI,HealthTech,Bac+5,"Pandas, API REST, LLM, Airflow, GCP, AWS",38724.0,Hybride,5,2023-11,2023Q4,Stage,False
49,2023-07-23,Stagiaire Data Science,Younited,Lyon,Freelance,LegalTech,Bac+5,"Spark, SQL, AWS, Computer Vision",536.0,Oui,0,2023-07,2023Q3,Stage,False
50,2024-02-21,NLP Engineer,Shift Technology,Grenoble,Stage,FinTech,Bac+5,"GCP, NLP, Deep Learning, AWS, API REST",1132.0,Hybride,0,2024-02,2024Q1,Data Engineering,True
51,2024-03-31,NLP Engineer,Dataiku,Paris,Stage,HealthTech,Bac+5,"NLP, Azure, Pandas, Docker, Kubernetes, AWS",697.0,Hybride,3,2024-03,2024Q1,Data Engineering,True
52,2023-09-02,Data Engineer,Alan,Paris,Stage,SaaS,Bac+5,"Git, API REST, SQL, PyTorch, Power BI, AWS, GCP",661.0,Oui,5,2023-09,2023Q3,Data Engineering,True
53,2024-01-10,AI Researcher,Mirakl,Paris,CDI,HealthTech,Bac+5,"Python, Docker, RAG",74206.0,Non,1,2024-01,2024Q1,Recherche IA,False
54,2023-08-10,Computer Vision Engineer,Hugging Face,Paris,Stage,MarTech,Bac+4,"Computer Vision, NLP, TensorFlow, API REST, Scikit-learn, Airflow, Pandas",1027.0,Oui,5,2023-08,2023Q3,Data Engineering,True
55,2024-04-08,Computer Vision Engineer,Withings,Bordeaux,CDI,LegalTech,Bac+5,"GCP, PyTorch, Python, Git, Kubernetes",60985.0,Oui,3,2024-04,2024Q2,Data Engineering,False
56,2023-11-28,Stagiaire Data Analyst,PhotoRoom,Paris,Stage,RetailTech,Bac+5,"Power BI, Computer Vision, Kubernetes, Machine Learning, Tableau, Deep Learning",656.0,Non,1,2023-11,2023Q4,Data Analysis,True
57,2024-05-17,Data Engineer,Swile,Paris,CDI,EdTech,Bac+5,"Airflow, Tableau, Spark",73920.0,Non,1,2024-05,2024Q2,Data Engineering,False
58,2024-05-12,Stagiaire Data Science,Swile,Lyon,CDD,EdTech,Bac+5,"Python, Airflow, Azure, dbt, Spark, SQL, Deep Learning",66792.0,Oui,2,2024-05,2024Q2,Stage,False
59,2024-01-02,Stagiaire Data Analyst,Mirakl,Paris,Stage,LegalTech,Bac+5,"GCP, Docker, API REST, Deep Learning, Azure, Git, dbt",717.0,Oui,0,2024-01,2024Q1,Data Analysis,True
60,2024-04-21,Computer Vision Engineer,Contentsquare,Paris,CDI,E-commerce,Bac+4,"Scikit-learn, Git, Hugging Face, dbt",60819.0,Non,3,2024-04,2024Q2,Data Engineering,False
61,2023-10-07,Stagiaire Data Analyst,Owkin,Lille,Freelance,E-commerce,Bac+5,"API REST, Spark, AWS, Hugging Face",766.0,Non,3,2023-10,2023Q4,Data Analysis,False
62,2024-06-25,Stagiaire ML,Payfit,Grenoble,CDI,LegalTech,Bac+8 (PhD),"Machine Learning, RAG, Deep Learning, SQL, LLM",52127.0,Hybride,3,2024-06,2024Q2,Stage,False
63,2023-08-05,ML Engineer,Ekimetrics,Nantes,Alternance,SaaS,Bac+5,"Kubernetes, Computer Vision, Scikit-learn, Deep Learning",1236.0,Oui,3,2023-08,2023Q3,ML Engineering,False
64,2023-07-24,Computer Vision Engineer,Contentsquare,Paris,CDD,SaaS,Bac+5,"Scikit-learn, TensorFlow, Computer Vision",41780.0,Hybride,0,2023-07,2023Q3,Data Engineering,False
65,2024-06-03,MLOps Engineer,Ekimetrics,Lyon,Freelance,HealthTech,Bac+3,"AWS, Docker, Python, Tableau, Airflow, GCP",628.0,Oui,2,2024-06,2024Q2,ML Engineering,False
66,2023-10-25,Business Intelligence Analyst,Qonto,Strasbourg,Stage,FinTech,Bac+5,"LLM, SQL, Machine Learning",684.0,Non,2,2023-10,2023Q4,Data Analysis,True
67,2023-11-26,ML Engineer,Doctolib,Bordeaux,CDD,DeepTech,Bac+5,"API REST, Azure, Git, Power BI",62881.0,Non,2,2023-11,2023Q4,ML Engineering,False
68,2023-08-10,NLP Engineer,Doctolib,Paris,CDI,HealthTech,Bac+5,"AWS, LLM, TensorFlow",67374.0,Oui,3,2023-08,2023Q3,Data Engineering,False
69,2023-10-28,NLP Engineer,Back Market,Grenoble,CDD,DeepTech,Bac+5,"TensorFlow, Git, Spark, Python, AWS, Docker, Scikit-learn",55454.0,Hybride,2,2023-10,2023Q4,Data Engineering,False
70,2023-08-21,Data Engineer,Ekimetrics,Lyon,Stage,HealthTech,Bac+5,"Scikit-learn, dbt, TensorFlow, Airflow",1021.0,Oui,5,2023-08,2023Q3,Data Engineering,True
71,2024-01-11,NLP Engineer,Swile,Paris,CDD,FinTech,Bac+3,"API REST, Python, Spark, Pandas, Machine Learning, Deep Learning, SQL",50023.0,Oui,5,2024-01,2024Q1,Data Engineering,False
72,2023-11-20,Data Scientist,Payfit,Paris,Stage,EdTech,Bac+5,"Scikit-learn, Spark, LLM, Pandas, SQL, TensorFlow",879.0,Oui,5,2023-11,2023Q4,Data Science,True
73,2024-02-18,Stagiaire Data Science,Younited,Paris,CDI,EdTech,Bac+3,"RAG, Hugging Face, API REST, AWS, Kubernetes",36220.0,Oui,5,2024-02,2024Q1,Stage,False
74,2024-05-21,MLOps Engineer,Back Market,Paris,CDD,RetailTech,Bac+5,"Power BI, Docker, Airflow, SQL",40082.0,Hybride,5,2024-05,2024Q2,ML Engineering,False
75,2024-01-03,NLP Engineer,Contentsquare,Paris,Stage,DeepTech,Bac+3,"NLP, SQL, dbt, Azure, Tableau, Computer Vision, Kubernetes",974.0,Oui,1,2024-01,2024Q1,Data Engineering,True
76,2023-09-22,NLP Engineer,Younited,Paris,CDI,EdTech,Bac+5,"API REST, LLM, NLP, Spark",56625.0,Hybride,0,2023-09,2023Q3,Data Engineering,False
77,2024-01-06,Computer Vision Engineer,Shift Technology,Marseille,Stage,DeepTech,Bac+4,"LLM, Power BI, Computer Vision",910.0,Oui,1,2024-01,2024Q1,Data Engineering,True
78,2023-12-29,Data Engineer,Ekimetrics,Paris,Stage,FinTech,Bac+3,"Azure, Machine Learning, Scikit-learn, dbt, LLM",863.0,Non,2,2023-12,2023Q4,Data Engineering,True
79,2023-10-16,Stagiaire Data Analyst,Qonto,Marseille,CDI,LegalTech,Bac+5,"Hugging Face, SQL, Machine Learning, Pandas, RAG, LLM, AWS",68439.0,Non,1,2023-10,2023Q4,Data Analysis,False
80,2024-06-08,Data Scientist,Qonto,Paris,CDI,LegalTech,Bac+4,"Pandas, Git, Deep Learning, API REST",41257.0,Hybride,3,2024-06,2024Q2,Data Science,False
81,2023-11-14,Stagiaire ML,Withings,Lyon,Stage,DeepTech,Bac+4,"Tableau, Spark, LLM, Kubernetes",996.0,Non,3,2023-11,2023Q4,Stage,True
82,2024-06-24,Stagiaire Data Analyst,Swile,Bordeaux,Freelance,HealthTech,Bac+5,"Docker, Airflow, dbt, Computer Vision, NLP",622.0,Hybride,2,2024-06,2024Q2,Data Analysis,False
83,2024-06-14,Business Intelligence Analyst,ManoMano,Paris,CDI,LegalTech,Bac+5,"dbt, Kubernetes, Power BI, SQL",49239.0,Hybride,0,2024-06,2024Q2,Data Analysis,False
84,2024-05-27,Data Scientist,Shift Technology,Paris,CDI,LegalTech,Bac+3,"LLM, RAG, Git, Power BI, Docker",36840.0,Non,0,2024-05,2024Q2,Data Science,False
85,2023-08-06,NLP Engineer,Qonto,Lyon,CDD,SaaS,Bac+3,"Spark, NLP, LLM, Azure, Kubernetes, Airflow, Git",53967.0,Oui,5,2023-08,2023Q3,Data Engineering,False
86,2024-05-07,Business Intelligence Analyst,PhotoRoom,Paris,CDI,E-commerce,Bac+5,"TensorFlow, Git, LLM, NLP",41928.0,Hybride,0,2024-05,2024Q2,Data Analysis,False
87,2024-05-21,MLOps Engineer,Mistral AI,Paris,CDI,DeepTech,Bac+3,"Machine Learning, AWS, SQL",60404.0,Oui,5,2024-05,2024Q2,ML Engineering,False
88,2023-09-26,Data Engineer,Ekimetrics,Lyon,CDI,E-commerce,Bac+5,"GCP, TensorFlow, Python",55125.0,Non,1,2023-09,2023Q3,Data Engineering,False
89,2024-03-30,Data Scientist,Back Market,Paris,Stage,E-commerce,Bac+5,"Azure, AWS, Hugging Face, NLP, Git, Python, GCP",642.0,Non,0,2024-03,2024Q1,Data Science,True
90,2023-11-03,Data Scientist,PhotoRoom,Paris,CDI,HealthTech,Bac+5,"Git, Airflow, LLM, Docker, Python, Computer Vision, Power BI",72609.0,Oui,3,2023-11,2023Q4,Data Science,False
91,2023-09-22,ML Engineer,Doctolib,Lyon,CDI,EdTech,Bac+5,"Pandas, Hugging Face, Computer Vision, Airflow",53330.0,Non,0,2023-09,2023Q3,ML Engineering,False
92,2024-02-22,Business Intelligence Analyst,Dataiku,Paris,Freelance,HealthTech,Bac+8 (PhD),"Scikit-learn, RAG, Spark, GCP, Docker, Machine Learning",784.0,Non,2,2024-02,2024Q1,Data Analysis,False
93,2024-01-11,NLP Engineer,Contentsquare,Paris,CDI,MarTech,Bac+3,"NLP, SQL, Azure, Python, PyTorch, Machine Learning, API REST",39031.0,Hybride,0,2024-01,2024Q1,Data Engineering,False
94,2023-11-16,MLOps Engineer,ManoMano,Lyon,CDI,SaaS,Bac+4,"Spark, Pandas, GCP",37848.0,Non,0,2023-11,2023Q4,ML Engineering,False
95,2024-05-23,Data Analyst,BlaBlaCar,Paris,CDD,FinTech,Bac+4,"LLM, RAG, AWS, SQL, PyTorch",67579.0,Oui,3,2024-05,2024Q2,Data Analysis,False
96,2024-06-17,ML Engineer,Alan,Lyon,CDI,E-commerce,Bac+5,"Machine Learning, Docker, PyTorch, RAG, Spark, AWS",60158.0,Non,2,2024-06,2024Q2,ML Engineering,False
97,2024-04-11,Stagiaire ML,Doctolib,Toulouse,Stage,FinTech,Bac+4,"GCP, Git, Machine Learning, Computer Vision",769.0,Oui,2,2024-04,2024Q2,Stage,True
98,2023-10-21,Data Engineer,Mirakl,Toulouse,Stage,DeepTech,Bac+5,"Kubernetes, Hugging Face, API REST",1194.0,Non,0,2023-10,2023Q4,Data Engineering,True
99,2024-06-15,Stagiaire Data Analyst,Alan,Bordeaux,CDI,DeepTech,Bac+8 (PhD),"Scikit-learn, NLP, Spark, dbt, LLM",48632.0,Oui,5,2024-06,2024Q2,Data Analysis,False
100,2023-12-14,Stagiaire Data Science,Kayrros,Paris,CDD,RetailTech,Bac+5,"Machine Learning, Hugging Face, Docker, Spark, API REST, Azure",65035.0,Non,5,2023-12,2023Q4,Stage,False
101,2023-07-29,Stagiaire Data Analyst,Hugging Face,Grenoble,CDI,HealthTech,Bac+5,"Git, Tableau, Kubernetes, dbt",55210.0,Oui,1,2023-07,2023Q3,Data Analysis,False
102,2023-10-26,Computer Vision Engineer,PhotoRoom,Grenoble,CDI,DeepTech,Bac+3,"API REST, Airflow, Deep Learning, TensorFlow, Machine Learning",50568.0,Non,3,2023-10,2023Q4,Data Engineering,False
103,2023-07-17,MLOps Engineer,Mirakl,Paris,Freelance,MarTech,Bac+8 (PhD),"Power BI, Deep Learning, Python, Machine Learning, dbt, LLM, AWS",528.0,Non,0,2023-07,2023Q3,ML Engineering,False
104,2023-12-09,AI Researcher,PhotoRoom,Paris,Freelance,DeepTech,Bac+5,"Tableau, Machine Learning, LLM, Spark, RAG, Computer Vision",77114.0,Oui,0,2023-12,2023Q4,Recherche IA,False
105,2024-01-22,AI Researcher,Contentsquare,Paris,CDI,EdTech,Bac+5,"Airflow, NLP, TensorFlow, Machine Learning, PyTorch",78538.0,Non,1,2024-01,2024Q1,Recherche IA,False
106,2023-11-15,Computer Vision Engineer,Qonto,Toulouse,Stage,LegalTech,Bac+5,"dbt, Airflow, Spark",655.0,Non,0,2023-11,2023Q4,Data Engineering,True
107,2023-08-03,ML Engineer,BlaBlaCar,Paris,CDI,DeepTech,Bac+5,"Python, Tableau, Kubernetes, Hugging Face, Scikit-learn",52661.0,Hybride,3,2023-08,2023Q3,ML Engineering,False
108,2023-10-17,ML Engineer,BlaBlaCar,Paris,CDI,RetailTech,Bac+5,"Kubernetes, Hugging Face, GCP, Pandas, NLP",40720.0,Non,1,2023-10,2023Q4,ML Engineering,False
109,2024-04-16,AI Researcher,Doctolib,Paris,Stage,HealthTech,Bac+5,"RAG, Spark, Kubernetes, Tableau, Airflow, AWS",650.0,Hybride,0,2024-04,2024Q2,Recherche IA,True
110,2023-12-09,Stagiaire Data Science,Withings,Toulouse,CDI,HealthTech,Bac+3,"PyTorch, AWS, LLM, Python, Scikit-learn, Pandas, Azure",63250.0,Non,5,2023-12,2023Q4,Stage,False
111,2023-10-17,Computer Vision Engineer,Shift Technology,Rennes,CDI,DeepTech,Bac+5,"Azure, Docker, Spark, Airflow",49971.0,Non,0,2023-10,2023Q4,Data Engineering,False
112,2024-05-31,Computer Vision Engineer,Dataiku,Lille,Stage,MarTech,Bac+5,"NLP, RAG, Tableau, LLM, Computer Vision, Power BI, AWS",1192.0,Hybride,3,2024-05,2024Q2,Data Engineering,True
113,2024-03-12,Stagiaire Data Science,Doctolib,Paris,CDI,RetailTech,Bac+5,"Deep Learning, API REST, Spark",66086.0,Hybride,3,2024-03,2024Q1,Stage,False
114,2024-01-19,Data Scientist,Mistral AI,Grenoble,CDI,HealthTech,Bac+5,"Azure, AWS, API REST, Tableau, Kubernetes, Power BI, Deep Learning",39448.0,Non,0,2024-01,2024Q1,Data Science,False
115,2024-05-25,MLOps Engineer,Alan,Paris,CDI,SaaS,Bac+4,"LLM, RAG, GCP, Git, Spark, Scikit-learn, dbt",37252.0,Hybride,3,2024-05,2024Q2,ML Engineering,False
116,2024-02-20,Stagiaire ML,Owkin,Lyon,CDI,HealthTech,Bac+5,"TensorFlow, dbt, Python, NLP, Deep Learning, Docker, Power BI",64842.0,Hybride,0,2024-02,2024Q1,Stage,False
117,2023-09-12,Business Intelligence Analyst,Doctolib,Paris,Alternance,SaaS,Bac+5,"Kubernetes, Scikit-learn, Pandas, Computer Vision, NLP",1229.0,Oui,2,2023-09,2023Q3,Data Analysis,False
118,2023-11-13,Stagiaire ML,BlaBlaCar,Marseille,CDI,HealthTech,Bac+8 (PhD),"Kubernetes, Machine Learning, Docker, SQL, Deep Learning, Python",35486.0,Hybride,0,2023-11,2023Q4,Stage,False
119,2023-09-10,Stagiaire ML,Back Market,Grenoble,CDI,DeepTech,Bac+8 (PhD),"Computer Vision, PyTorch, LLM, Kubernetes",56108.0,Non,0,2023-09,2023Q3,Stage,False
120,2023-11-04,NLP Engineer,Alan,Paris,CDI,FinTech,Bac+5,"PyTorch, Azure, AWS, Power BI",73772.0,Hybride,3,2023-11,2023Q4,Data Engineering,False
121,2024-04-13,Data Engineer,Kayrros,Lyon,Stage,HealthTech,Bac+5,"RAG, Power BI, Tableau, Python, Pandas, Azure",873.0,Hybride,0,2024-04,2024Q2,Data Engineering,True
122,2024-04-01,MLOps Engineer,Hugging Face,Grenoble,Stage,EdTech,Bac+4,"dbt, Kubernetes, Pandas, Scikit-learn",627.0,Hybride,2,2024-04,2024Q2,ML Engineering,True
123,2023-11-12,MLOps Engineer,Doctolib,Grenoble,Freelance,SaaS,Bac+5,"Hugging Face, Tableau, RAG, Deep Learning, dbt",582.0,Hybride,0,2023-11,2023Q4,ML Engineering,False
124,2024-04-25,Stagiaire Data Analyst,BlaBlaCar,Paris,CDI,HealthTech,Bac+5,"Hugging Face, RAG, Machine Learning, AWS, TensorFlow",53548.0,Oui,1,2024-04,2024Q2,Data Analysis,False
125,2024-02-05,Data Analyst,Alan,Paris,Stage,DeepTech,Bac+8 (PhD),"dbt, GCP, TensorFlow, Computer Vision",1185.0,Hybride,0,2024-02,2024Q1,Data Analysis,True
126,2024-04-24,Stagiaire Data Science,Back Market,Paris,Stage,RetailTech,Bac+5,"Power BI, PyTorch, NLP, Azure, LLM, Git",786.0,Non,1,2024-04,2024Q2,Stage,True
127,2024-01-21,ML Engineer,Doctolib,Paris,Stage,FinTech,Bac+5,"Kubernetes, Scikit-learn, Hugging Face, SQL",1147.0,Non,0,2024-01,2024Q1,ML Engineering,True
128,2024-01-02,Data Engineer,Contentsquare,Bordeaux,Freelance,SaaS,Bac+5,"LLM, Computer Vision, Azure, NLP, Power BI, AWS",645.0,Non,0,2024-01,2024Q1,Data Engineering,False
129,2023-10-21,Data Analyst,Withings,Nantes,Freelance,RetailTech,Bac+3,"Python, Spark, Docker, SQL, Airflow, Git, LLM",418.0,Non,3,2023-10,2023Q4,Data Analysis,False
130,2023-09-09,Stagiaire ML,Back Market,Toulouse,CDI,MarTech,Bac+4,"LLM, Computer Vision, Deep Learning, RAG, GCP, Airflow",74491.0,Hybride,0,2023-09,2023Q3,Stage,False
131,2024-03-17,Stagiaire ML,Withings,Paris,Stage,FinTech,Bac+5,"LLM, Pandas, Power BI, Deep Learning, Azure, Spark",1182.0,Non,1,2024-03,2024Q1,Stage,True
132,2024-03-09,Business Intelligence Analyst,Younited,Paris,CDD,LegalTech,Bac+4,"Scikit-learn, Deep Learning, API REST",51593.0,Hybride,3,2024-03,2024Q1,Data Analysis,False
133,2023-08-16,Stagiaire ML,Mirakl,Nantes,CDI,RetailTech,Bac+8 (PhD),"GCP, Hugging Face, Azure, Power BI, PyTorch",67516.0,Oui,0,2023-08,2023Q3,Stage,False
134,2023-07-25,Data Scientist,Withings,Paris,Alternance,EdTech,Bac+8 (PhD),"dbt, LLM, Airflow, Hugging Face, Git, PyTorch, Kubernetes",1615.0,Hybride,1,2023-07,2023Q3,Data Science,False
135,2023-08-26,MLOps Engineer,Dataiku,Paris,CDD,EdTech,Bac+4,"TensorFlow, API REST, Power BI",53022.0,Hybride,0,2023-08,2023Q3,ML Engineering,False
